date,day,dow,region,channel,platform,offered,handled,handled_in_sl,abandoned,asa_s,sl_pct,aht_elapsed_s,aht_agent_work_s,version,actor
2026-08-27,39,Thu,East,email,Meridian,15,15,15,0,2915,100,470,470,v001,agent:DataEngineer
2026-08-28,40,Fri,North,voice,Meridian,28,27,26,1,15,92.9,2012,2012,v001,agent:DataEngineer
2026-08-28,40,Fri,East,voice,Meridian,25,25,25,0,15,100,2012,2012,v001,agent:DataEngineer
2026-08-28,40,Fri,North,chat,Meridian,53,51,47,2,65,88.7,1217,556,v001,agent:DataEngineer
2026-08-28,40,Fri,East,chat,Meridian,49,47,44,2,65,89.8,1217,556,v001,agent:DataEngineer
2026-08-28,40,Fri,North,email,Meridian,15,15,14,0,2421,93.3,444,444,v001,agent:DataEngineer
2026-08-28,40,Fri,East,email,Meridian,14,14,14,0,2421,100,444,444,v001,agent:DataEngineer
2026-08-29,41,Sat,North,voice,Meridian,16,15,15,1,15,93.8,2076,2076,v001,agent:DataEngineer
2026-08-29,41,Sat,East,voice,Meridian,13,13,13,0,15,100,2076,2076,v001,agent:DataEngineer
2026-08-29,41,Sat,North,chat,Meridian,31,30,30,1,42,96.8,1119,560,v001,agent:DataEngineer
2026-08-29,41,Sat,East,chat,Meridian,24,23,23,1,42,95.8,1119,560,v001,agent:DataEngineer
2026-08-29,41,Sat,North,email,Meridian,9,9,9,0,2467,100,458,458,v001,agent:DataEngineer
2026-08-29,41,Sat,East,email,Meridian,7,7,7,0,2467,100,458,458,v001,agent:DataEngineer
2026-08-30,42,Sun,North,voice,Meridian,18,17,17,1,14,94.4,1927,1927,v001,agent:DataEngineer
2026-08-30,42,Sun,East,voice,Meridian,16,16,16,0,14,100,1927,1927,v001,agent:DataEngineer
2026-08-30,42,Sun,North,chat,Meridian,35,34,34,1,45,97.1,1120,560,v001,agent:DataEngineer
2026-08-30,42,Sun,East,chat,Meridian,31,30,30,1,45,96.8,1120,560,v001,agent:DataEngineer
2026-08-30,42,Sun,North,email,Meridian,10,10,10,0,2388,100,424,424,v001,agent:DataEngineer
2026-08-30,42,Sun,East,email,Meridian,9,9,9,0,2388,100,424,424,v001,agent:DataEngineer
2026-08-31,43,Mon,North,voice,Meridian,38,35,28,3,87,73.7,1855,1855,v001,agent:DataEngineer
2026-08-31,43,Mon,East,voice,Meridian,32,29,23,3,87,71.9,1855,1855,v001,agent:DataEngineer
2026-08-31,43,Mon,North,chat,Meridian,77,62,35,15,500,45.5,1576,569,v001,agent:DataEngineer
2026-08-31,43,Mon,East,chat,Meridian,63,51,29,12,500,46,1576,569,v001,agent:DataEngineer
2026-08-31,43,Mon,North,email,Meridian,21,21,18,0,3238,85.7,485,485,v001,agent:DataEngineer
2026-08-31,43,Mon,East,email,Meridian,18,18,15,0,3238,83.3,485,485,v001,agent:DataEngineer
