date,day,dow,region,channel,platform,offered,handled,handled_in_sl,abandoned,asa_s,sl_pct,aht_elapsed_s,aht_agent_work_s,version,actor
2026-11-10,114,Tue,East,chat,Meridian,76,73,70,3,63,92.1,1067,533,v001,agent:DataEngineer
2026-11-10,114,Tue,North,email,Meridian,28,28,26,0,2675,92.9,475,475,v001,agent:DataEngineer
2026-11-10,114,Tue,East,email,Meridian,22,22,21,0,2675,95.5,475,475,v001,agent:DataEngineer
2026-11-11,115,Wed,North,voice,Meridian,41,40,40,1,13,97.6,1729,1729,v001,agent:DataEngineer
2026-11-11,115,Wed,East,voice,Meridian,40,39,39,1,13,97.5,1729,1729,v001,agent:DataEngineer
2026-11-11,115,Wed,North,chat,Meridian,83,80,79,3,42,95.2,1048,524,v001,agent:DataEngineer
2026-11-11,115,Wed,East,chat,Meridian,81,79,79,2,42,97.5,1048,524,v001,agent:DataEngineer
2026-11-11,115,Wed,North,email,Meridian,24,24,24,0,2071,100,473,473,v001,agent:DataEngineer
2026-11-11,115,Wed,East,email,Meridian,23,23,23,0,2071,100,473,473,v001,agent:DataEngineer
2026-11-12,116,Thu,North,voice,Meridian,39,38,38,1,13,97.4,1617,1617,v001,agent:DataEngineer
2026-11-12,116,Thu,East,voice,Meridian,33,33,33,0,13,100,1617,1617,v001,agent:DataEngineer
2026-11-12,116,Thu,North,chat,Meridian,78,75,73,3,48,93.6,968,484,v001,agent:DataEngineer
2026-11-12,116,Thu,East,chat,Meridian,67,65,64,2,48,95.5,968,484,v001,agent:DataEngineer
2026-11-12,116,Thu,North,email,Meridian,23,23,22,0,2403,95.7,464,464,v001,agent:DataEngineer
2026-11-12,116,Thu,East,email,Meridian,19,19,18,0,2403,94.7,464,464,v001,agent:DataEngineer
2026-11-13,117,Fri,North,voice,Meridian,31,30,30,1,12,96.8,1625,1625,v001,agent:DataEngineer
2026-11-13,117,Fri,East,voice,Meridian,26,26,26,0,12,100,1625,1625,v001,agent:DataEngineer
2026-11-13,117,Fri,North,chat,Meridian,63,61,59,2,53,93.7,1028,514,v001,agent:DataEngineer
2026-11-13,117,Fri,East,chat,Meridian,52,50,49,2,53,94.2,1028,514,v001,agent:DataEngineer
2026-11-13,117,Fri,North,email,Meridian,18,18,17,0,2656,94.4,492,492,v001,agent:DataEngineer
2026-11-13,117,Fri,East,email,Meridian,15,15,15,0,2656,100,492,492,v001,agent:DataEngineer
2026-11-14,118,Sat,North,voice,Meridian,18,17,16,1,13,88.9,1630,1630,v001,agent:DataEngineer
2026-11-14,118,Sat,East,voice,Meridian,14,14,14,0,13,100,1630,1630,v001,agent:DataEngineer
2026-11-14,118,Sat,North,chat,Meridian,36,35,35,1,56,97.2,989,495,v001,agent:DataEngineer
2026-11-14,118,Sat,East,chat,Meridian,27,26,26,1,56,96.3,989,495,v001,agent:DataEngineer
2026-11-14,118,Sat,North,email,Meridian,10,10,10,0,2552,100,482,482,v001,agent:DataEngineer
2026-11-14,118,Sat,East,email,Meridian,8,8,8,0,2552,100,482,482,v001,agent:DataEngineer
2026-11-15,119,Sun,North,voice,Meridian,18,17,17,1,13,94.4,1713,1713,v001,agent:DataEngineer
2026-11-15,119,Sun,East,voice,Meridian,15,15,15,0,13,100,1713,1713,v001,agent:DataEngineer
2026-11-15,119,Sun,North,chat,Meridian,35,34,34,1,46,97.1,1035,517,v001,agent:DataEngineer
2026-11-15,119,Sun,East,chat,Meridian,31,30,30,1,46,96.8,1035,517,v001,agent:DataEngineer
2026-11-15,119,Sun,North,email,Meridian,10,10,9,0,2285,90,455,455,v001,agent:DataEngineer
2026-11-15,119,Sun,East,email,Meridian,9,9,9,0,2285,100,455,455,v001,agent:DataEngineer
2026-11-16,120,Mon,North,voice,Meridian,39,38,38,1,12,97.4,1820,1820,v001,agent:DataEngineer
2026-11-16,120,Mon,East,voice,Meridian,37,36,36,1,12,97.3,1820,1820,v001,agent:DataEngineer
2026-11-16,120,Mon,North,chat,Meridian,78,75,74,3,50,94.9,1002,501,v001,agent:DataEngineer
2026-11-16,120,Mon,East,chat,Meridian,76,74,74,2,50,97.4,1002,501,v001,agent:DataEngineer
2026-11-16,120,Mon,North,email,Meridian,23,23,23,0,2492,100,453,453,v001,agent:DataEngineer
2026-11-16,120,Mon,East,email,Meridian,22,22,22,0,2492,100,453,453,v001,agent:DataEngineer
